indiv	AGE	SEX	PC1
4856305	68	0	0.279315
1853463	48	1	-12.5596
4313051	64	0	-12.0578
1256439	56	1	-10.7444
5258802	42	0	66.7447
3594833	63	0	65.9329
4325059	47	0	65.3669
4408945	50	1	154.622
4367324	68	0	-8.16279
2792089	50	0	152.356
2004152	65	0	411.886
2516582	57	0	89.7249
2256275	50	1	68.4113
1860857	55	0	157.654
3679154	56	1	-7.07723
1416354	55	0	-4.66338
2642292	43	1	91.0999
3707025	52	0	396.701
4117784	44	1	-12.4876
1418808	61	1	-6.62971
3662862	50	1	99.0311
2441036	55	1	353.881
3439310	62	1	73.8203
5875255	69	0	-5.71968
1627587	67	1	4.3142
3152076	65	0	-4.77136
4352421	45	1	-12.9553
2521776	47	0	-7.04202
2757236	45	1	154.501
3047717	44	0	60.8865
5185329	65	1	34.3943
1907869	60	1	20.7315
5595755	47	0	-11.9188
5776750	58	1	-11.5326
2470814	54	0	-1.73393
3005708	57	1	157.3
4706191	54	0	-13.9446
2168275	42	1	95.6139
2266965	64	1	26.324
2395546	57	1	98.8059
3725780	58	0	83.8413
3265260	43	1	97.1174
3063464	67	1	62.5174
2991352	54	0	92.8473
2702631	52	1	377.321
1915040	58	1	17.542
3711562	63	0	403.461
1503298	54	0	16.9362
3518321	59	0	19.6449
3086408	60	0	-9.27067
1756039	43	1	70.0364
2130875	68	1	-12.9911
5101610	70	1	-10.5263
1859367	46	0	70.7991
3102703	42	1	-12.5489
2489223	53	1	411.496
5150811	43	1	61.4925
3952560	53	1	48.8959
6020188	66	0	60.5257
3066567	52	1	19.9706
2106045	45	0	102.698
2499152	65	1	-0.250973
4534273	61	1	4.69761
4935711	51	0	85.1638
2823127	51	1	158.142
3819156	63	0	6.57522
4609957	45	1	-12.1118
4391787	41	0	310.966
4329557	66	0	-13.2051
4300615	70	1	-13.5554
4087574	42	1	88.7072
1643350	44	0	333.602
4952241	57	0	20.2781
1925927	58	0	47.5702
4277222	60	0	-10.1025
2159901	42	1	-11.2431
2292679	59	0	237.121
4735046	60	0	407.409
1475867	62	1	12.6879
3019582	53	0	21.5127
2785940	42	0	138.923
5318417	56	0	-6.65969
5837815	43	1	403.98
2007314	41	0	67.254
3138027	60	0	56.0845
5423504	49	0	4.33458
5073141	45	1	58.1319
4953207	68	0	5.9265
1457165	59	1	80.4126
1076752	60	0	358.621
3677670	50	0	412.548
3589201	57	1	-11.609
2308377	59	0	-12.4756
5644028	60	1	5.04983
4828721	61	0	1.25313
3741844	43	0	224.361
5864389	42	1	17.2278
5877158	43	1	1.17065
4060194	48	1	36.4984
2567218	43	0	-8.45332
1376870	48	0	8.26975
3451566	67	1	131.95
3107647	47	0	88.5957
3974056	59	0	26.5179
1729128	43	1	-12.1436
4973630	50	1	202.762
3472982	60	0	48.1322
4998611	68	1	19.1253
1278696	56	0	19.8473
3803865	64	1	19.9656
3537159	44	1	-11.7402
2342828	52	0	-13.584
4912231	54	0	2.32884
4627974	60	0	2.59425
5749053	44	1	97.7032
5889688	68	0	-12.6787
2496261	43	1	3.0964
5467567	63	0	99.5321
1850180	63	0	-15.7626
4060801	55	0	-10.2785
3332065	64	1	-11.1561
3425498	65	1	65.9808
2701056	41	0	54.6126
5760969	57	1	57.8154
3184808	53	0	59.5643
5470121	52	1	-8.09119
1467699	63	0	-4.80667
3812492	65	0	-11.7921
3555046	42	0	24.5185
1348477	44	1	-11.3677
3772594	52	0	386.348
3301958	49	0	102.487
3617613	56	0	157.509
3074414	65	1	-13.246
2399423	51	1	35.3083
5614150	64	0	-9.65267
2859639	63	1	18.6259
1639714	62	1	0.717709
4070372	54	0	19.7967
4422966	56	1	-13.1697
2518855	54	0	341.41
5567531	70	1	-12.9244
4723884	67	0	4.11751
4940416	53	1	112.504
2912250	56	0	389.847
4371726	60	0	-10.377
5678444	45	1	62.6841
1997345	50	0	57.031
3962039	56	1	20.4842
2754094	42	1	-12.1249
4926080	55	0	85.9576
3366078	41	0	-13.0074
4916442	49	1	22.6133
5922673	57	1	10.6072
5008035	47	0	59.6833
3772912	66	0	80.3915
2157018	51	1	62.0505
3463803	54	0	41.1026
4312226	61	0	17.6092
3620064	42	1	116.406
4607780	42	1	71.3335
1823486	56	0	-4.20403
4973037	54	0	30.6475
4543478	49	0	413.273
1360510	46	0	73.6604
3605796	46	1	19.6648
2390921	51	1	113.775
4304856	49	1	-14.2081
3956442	45	1	53.62
2564680	53	1	145.695
5225450	65	0	21.5087
4614037	51	1	343.089
5950583	67	0	412.251
1577689	69	0	407.695
5508901	61	1	78.2596
4457089	70	1	357.628
4892794	46	1	-8.91813
3329398	62	1	-8.13929
1351455	69	1	405.561
4526976	63	0	-9.37763
4790319	63	1	401.321
5446824	65	0	200.024
2646409	58	1	407.051
2468829	69	1	22.9074
1562565	62	0	347.643
2084861	47	0	3.83251
2357695	48	1	400.536
2020187	59	1	58.3982
5693592	53	0	55.3475
1027043	60	0	56.4013
1861932	44	1	66.4087
6000983	43	0	128.967
5135323	59	0	-3.8091
4326266	59	0	267.383
5624084	55	1	-8.41752
3104854	61	1	325.227
5699306	48	0	381.577
5576568	61	1	76.6121
4101474	55	1	326.884
2132731	46	1	395.867
3526027	50	0	38.1801
2774921	63	0	-6.20185
3577607	51	0	4.86453
5620927	50	1	34.2451
4108140	51	0	62.607
4533707	63	0	6.06792
1306732	57	0	5.44536
1242081	66	1	-12.8394
1108586	50	0	1.22284
3700246	62	1	21.1499
5357297	63	0	18.6873
3874750	61	0	1.58231
2634822	49	0	380.405
4145860	56	1	22.0231
2107785	52	1	-13.6074
2745223	68	0	20.6238
3771425	67	1	158.894
5734501	67	0	159.877
2148549	51	1	61.5403
5884350	49	0	71.5784
1899521	52	1	64.5835
4266329	54	1	93.2555
4642027	65	0	62.9538
5090252	45	0	0.951384
2407293	44	1	74.8852
2175389	51	1	87.7334
4672529	41	1	83.8645
5899212	45	1	87.4611
3290213	52	1	375.625
4784523	69	1	70.8317
4263292	67	1	394.131
3786321	48	1	1.77668
5288787	59	0	-17.004
2815644	58	0	61.4622
1907825	46	0	158.077
1074652	54	0	403.525
1497747	42	1	17.8598
5060174	56	0	-2.84779
2106931	52	0	2.5171
4827275	56	0	86.1358
2468250	41	1	-6.4029
4466031	68	1	91.0935
1177979	46	1	-2.53533
4840882	51	0	3.02181
5412272	50	0	147.502
3160119	43	1	4.15945
2437463	58	0	0.501681
1133398	45	0	68.5915
3838132	66	0	5.07612
3349900	50	0	60.4767
1537046	61	1	112.052
2137366	55	0	-13.4443
3171427	69	0	-12.0034
3751867	40	1	-14.4348
3908627	56	1	-13.5378
1127022	57	1	101.565
5219570	62	1	93.6713
2750069	50	1	93.0984
5013823	45	1	0.376056
2053263	55	1	404.372
3105287	62	0	12.7002
2015197	51	0	80.9622
5789359	62	1	19.3953
3809296	43	1	149.112
2890123	62	1	-13.8591
5087299	47	0	406.584
5921114	49	0	365.848
3955567	59	1	400.461
2338085	69	0	306.073
3685791	69	0	-12.0041
2859285	54	0	57.1456
3373800	46	0	176.837
2870596	54	1	-4.45858
1519152	48	0	18.3578
3660807	45	0	73.4508
1052978	52	0	10.3366
1700822	51	1	10.5715
1862842	57	0	-15.669
4584712	63	1	27.5637
3491827	57	0	5.49685
4140223	58	1	-12.7394
5075381	54	0	400.657
4789509	69	0	-11.341
2819935	47	0	3.41106
4787581	49	1	385.786
5350437	44	0	357.999
5767695	46	1	96.716
5105413	51	0	346.677
4798977	55	1	6.27847
3972058	65	0	11.2586
6023143	47	1	381.462
4609377	62	0	-11.6608
2159839	59	1	-1.13966
4649971	42	0	-13.6611
5075251	40	1	373.515
3731148	46	0	-11.9651
1366058	52	1	82.3019
5740981	59	0	222.699
3471298	51	1	55.7385
2540885	65	0	-13.3799
5394433	41	1	119.091
4460807	44	0	62.2639
2296167	65	1	115.621
4944816	45	0	262.408
4347469	55	1	68.745
3966205	56	0	134.135
3489795	51	0	-0.845764
4531508	69	0	3.30772
5805513	43	1	61.8723
3499737	44	1	-14.4529
4697815	64	0	406.538
5241415	52	0	63.6428
2085408	54	0	331.409
3637650	55	0	275.084
4090136	44	1	85.3704
1579054	46	0	94.5971
5503433	43	0	-12.1278
4673390	51	0	36.6227
1344118	67	0	0.695781
4246767	69	0	400.525
3118609	67	1	115.106
4560319	67	1	323.577
5014078	66	1	62.3314
1920134	68	1	98.4459
3279153	56	0	-0.0182402
2715103	44	0	-7.82107
3548539	61	0	-3.14312
2046546	69	0	-15.5814
4002381	47	0	14.7535
4615066	42	0	32.089
5555987	50	0	24.6199
5357025	56	0	366.938
5369260	63	0	-12.8391
5978888	58	1	1.47664
2041858	52	1	-9.92225
2333121	65	0	-11.9531
2263976	66	1	-12.0997
5736218	41	1	41.7784
2671092	62	1	-0.00320075
1411632	57	1	405.075
5051808	60	1	-10.8137
1192152	53	1	340.721
1744888	62	0	-7.70027
4827297	55	1	64.3181
4009939	47	0	64.2542
3785318	58	0	-12.4667
5324973	53	0	38.2738
3261284	60	1	10.2162
2647971	62	1	-5.71645
4941577	51	1	76.2649
2751165	43	0	46.9501
5007928	56	1	395.139
1386155	48	0	332.298
1368634	56	0	-11.1639
4743470	57	0	-9.01089
3509277	48	1	398.167
2898197	48	0	5.8033
3082464	61	0	38.9962
5076445	43	1	89.4714
1253771	60	1	4.59423
3509944	44	1	322.906
5075945	60	0	109.798
3573918	49	1	62.004
4010201	49	0	-13.9322
3216803	58	0	118.268
1024331	59	0	-9.33045
3793955	50	0	157.984
4629900	54	0	-5.03027
2319039	47	0	393.69
2457813	52	0	382.719
1465163	62	1	381.677
4926937	51	0	10.0674
2512540	46	0	71.8837
4075254	61	1	-12.8665
4459617	62	0	60.4664
2832016	44	0	-12.3208
1833471	41	0	82.2524
2239121	67	0	2.69295
2963656	57	1	-15.2237
6006598	54	0	-9.33484
5331103	44	0	98.7339
3318038	44	1	59.2181
5308352	53	0	-6.45303
1218495	40	0	100.217
1199323	52	0	22.8282
3636861	64	1	5.58094
4744435	66	0	-10.4207
5659070	65	1	405.804
5868821	62	0	409.688
2444919	60	0	-6.10543
3452085	41	1	21.9563
1475724	58	0	399.073
2123929	44	0	26.7118
4868479	58	0	44.2859
3725416	63	1	22.5619
3734988	40	1	397.254
4153206	57	0	15.3315
5037883	54	0	65.6379
3154234	67	0	-4.215
2917044	53	1	-12.6082
3769611	54	1	24.0396
1499903	66	1	74.8543
2893634	51	1	80.2826
3305232	49	1	-9.11023
2230108	41	0	3.65694
5352823	48	0	-11.9878
2579137	43	1	410.31
3216384	59	1	34.1518
1261698	66	0	-14.2727
4429524	58	0	-12.9212
2734441	65	0	-13.143
3847181	52	1	54.2618
5106522	61	0	62.5242
2688272	49	1	-13.9546
3631145	55	1	113.378
3566087	41	1	337.659
4856845	61	0	-13.5339
4812988	67	0	23.2966
2209020	65	1	-8.00521
2465885	45	0	-8.7713
2379923	45	0	151.228
2886556	55	1	76.6884
5869856	63	1	17.9704
5228089	51	0	74.9351
4368883	49	0	74.2654
1750876	53	1	70.4451
4540671	43	1	1.3682
4478464	44	0	101.527
1924437	64	1	53.0627
1777969	51	1	159.237
5248378	48	1	-11.6228
1312709	54	0	83.7391
1034797	45	0	148.155
1785200	43	1	-14.2522
1229046	44	1	154.859
2545933	66	1	103.399
5689482	45	0	149.009
5242296	45	1	138.628
2245349	47	1	2.49484
4856966	46	1	8.80441
4754250	68	0	30.9545
4635807	63	0	87.7907
3027503	48	1	158.321
4425619	69	1	88.6458
4477126	46	0	22.8995
4390414	55	0	-13.7218
3586218	42	1	-13.8776
5742440	43	0	151.11
2843434	58	0	-11.8849
2229416	63	1	24.4323
1315418	56	1	-12.4579
5139231	49	0	1.15283
4969210	41	0	-8.61897
4172361	46	0	-6.60434
2851702	43	1	-12.9436
2301501	41	0	403.815
4728992	40	0	154.315
1616005	56	1	5.1435
1232372	67	1	23.4286
2652456	56	0	64.1855
3522766	60	1	-12.2786
2589320	48	0	95.264
2186733	68	1	18.7792
5091505	42	1	70.6874
5824728	56	0	-8.21125
4138587	63	0	-13.9509
5464609	62	0	12.4881
3816800	52	1	404.216
5136516	67	0	-11.3043
5797404	63	1	72.5558
4377769	47	0	3.77069
1077018	61	0	374.964
4701760	55	1	50.5751
1181209	51	0	350.069
2043245	59	1	34.1459
6017016	68	1	46.7517
1326249	41	0	92.7345
